experiment,distribution,encoding,num_clients,accuracy,precision,recall,f1_score,auc_roc,fpr,mcc
centralized_no_encoding,centralized,none,1,0.986,0.9863475177304966,0.986,0.9859773617938732,0.9933535353535353,0.03111111111111111,0.9720280116728908
centralized_amino_acid,centralized,amino_acid,1,0.987,0.9873001776198935,0.987,0.9869806559964184,0.9944929292929292,0.028888888888888888,0.9740059477965233
fed_equal_iid_no_encoding,equal_iid,none,5,0.987,0.9873001776198935,0.987,0.9869806559964184,0.9909737373737374,0.028888888888888888,0.9740059477965233
fed_equal_iid_amino_acid,equal_iid,amino_acid,5,0.987,0.9873001776198935,0.987,0.9869806559964184,0.9950262626262627,0.028888888888888888,0.9740059477965233
fed_skewed_non_iid_no_encoding,skewed_non_iid,none,5,0.986,0.9863475177304966,0.986,0.9859773617938732,0.98989898989899,0.03111111111111111,0.9720280116728908
fed_skewed_non_iid_amino_acid,skewed_non_iid,amino_acid,5,0.976,0.9770034843205575,0.976,0.9759274606347194,0.9905898989898989,0.05333333333333334,0.9524099879429896
